day,rob_count_0,rob_rebelled_0,trade_count_0,trade_accepted_0,0_obey_to,farm_count_0,rob_count_1,rob_rebelled_1,trade_count_1,trade_accepted_1,1_obey_to,farm_count_1,rob_count_2,rob_rebelled_2,trade_count_2,trade_accepted_2,2_obey_to,farm_count_2,rob_count_3,rob_rebelled_3,trade_count_3,trade_accepted_3,3_obey_to,farm_count_3,rob_count_4,rob_rebelled_4,trade_count_4,trade_accepted_4,4_obey_to,farm_count_4,rob_count_5,rob_rebelled_5,trade_count_5,trade_accepted_5,5_obey_to,farm_count_5,rob_count_6,rob_rebelled_6,trade_count_6,trade_accepted_6,6_obey_to,farm_count_6,rob_count_7,rob_rebelled_7,trade_count_7,trade_accepted_7,7_obey_to,farm_count_7,rob_count_8,rob_rebelled_8,trade_count_8,trade_accepted_8,8_obey_to,farm_count_8
1,1,1,0,0,-1,0,0,0,0,0,-1,1,1,1,0,0,-1,0,0,0,1,0,-1,0,0,0,1,0,-1,0,1,1,0,0,-1,0,0,0,1,1,-1,0,0,0,0,0,-1,1,1,1,0,0,-1,0
2,2,2,0,0,-1,0,0,0,0,0,-1,2,1,1,0,0,-1,1,0,0,2,0,-1,0,0,0,2,0,-1,0,1,1,0,0,-1,1,1,1,1,1,-1,0,1,1,0,0,-1,1,2,2,0,0,-1,0
3,3,3,0,0,-1,0,0,0,0,0,-1,3,1,1,0,0,-1,2,0,0,2,0,-1,1,1,1,2,0,-1,0,2,2,0,0,-1,1,1,1,1,1,-1,1,2,2,0,0,-1,1,2,2,0,0,-1,1
4,3,3,0,0,-1,1,0,0,0,0,-1,4,1,1,0,0,-1,3,0,0,3,1,-1,1,1,1,3,0,-1,0,2,2,0,0,-1,2,1,1,2,2,-1,1,3,3,0,0,-1,1,3,3,0,0,-1,1
5,3,3,1,0,-1,1,0,0,0,0,-1,5,1,1,0,0,-1,4,1,1,3,1,-1,1,1,1,4,0,-1,0,2,2,1,1,-1,2,1,1,2,2,-1,2,3,3,0,0,-1,2,4,4,0,0,-1,1
6,4,4,1,0,7,1,0,0,0,0,-1,6,1,1,0,0,-1,5,1,1,3,1,-1,2,1,1,5,0,-1,0,2,2,1,1,-1,3,1,1,3,2,-1,2,4,3,0,0,-1,2,5,5,0,0,-1,1
7,4,4,1,0,7,2,0,0,0,0,-1,7,1,1,0,0,-1,6,2,2,3,1,-1,2,1,1,5,0,-1,1,2,2,2,1,-1,3,1,1,4,3,-1,2,4,3,0,0,-1,3,5,5,0,0,-1,2
8,4,4,1,0,7,3,0,0,0,0,-1,8,1,1,0,0,-1,7,3,3,3,1,-1,2,1,1,5,0,-1,2,2,2,2,1,-1,4,1,1,5,3,-1,2,4,3,0,0,-1,4,5,5,0,0,-1,3
9,4,4,2,1,7,3,0,0,0,0,-1,9,1,1,0,0,-1,8,3,3,3,1,-1,3,1,1,5,0,-1,3,2,2,3,1,-1,4,1,1,6,4,-1,2,5,4,0,0,-1,4,5,5,0,0,-1,4
10,4,4,3,1,7,3,0,0,0,0,-1,10,1,1,0,0,-1,9,3,3,3,1,7,4,1,1,5,0,-1,4,2,2,3,1,-1,5,2,2,6,4,-1,2,6,4,0,0,-1,4,6,6,0,0,-1,4
11,4,4,3,1,7,4,0,0,0,0,-1,11,1,1,0,0,-1,10,3,3,4,1,7,4,1,1,5,0,-1,5,2,2,3,1,-1,6,3,3,6,4,-1,2,7,5,0,0,-1,4,7,7,0,0,-1,4
12,4,4,3,1,7,5,0,0,1,0,-1,11,1,1,0,0,-1,11,3,3,5,2,7,4,2,2,5,0,-1,5,2,2,3,1,-1,7,3,3,6,4,-1,3,8,6,0,0,-1,4,7,7,0,0,-1,5
13,4,4,4,2,7,5,0,0,1,0,-1,12,1,1,0,0,-1,12,3,3,5,2,7,5,2,2,6,1,-1,5,2,2,3,1,-1,8,3,3,6,4,-1,4,8,6,0,0,-1,5,8,8,0,0,-1,5
14,4,4,4,2,7,6,0,0,1,0,-1,13,1,1,1,0,-1,12,3,3,5,2,7,6,2,2,6,1,-1,6,3,3,3,1,-1,8,3,3,6,4,-1,5,8,6,0,0,-1,6,9,9,0,0,-1,5
15,4,4,5,2,7,6,0,0,2,0,-1,13,1,1,1,0,-1,13,3,3,5,2,7,7,2,2,7,2,-1,6,3,3,3,1,-1,9,3,3,6,4,-1,6,8,6,1,0,-1,6,10,10,0,0,-1,5
16,4,4,5,2,7,7,0,0,2,0,-1,14,1,1,2,1,7,13,3,3,5,2,7,8,3,3,7,2,-1,6,3,3,3,1,-1,10,3,3,7,5,-1,6,9,6,1,0,-1,6,11,11,0,0,-1,5
17,4,4,5,2,7,8,0,0,2,0,-1,15,1,1,2,1,7,14,3,3,6,2,7,8,3,3,8,3,-1,6,3,3,3,1,-1,11,3,3,7,5,-1,7,9,6,1,0,-1,7,12,12,0,0,-1,5
18,4,4,5,2,7,9,0,0,2,0,-1,16,1,1,3,2,7,14,3,3,6,2,7,9,3,3,9,3,-1,6,3,3,3,1,-1,12,3,3,7,5,-1,8,9,6,2,0,-1,7,13,13,0,0,-1,5
19,4,4,5,2,7,10,0,0,2,0,7,17,1,1,3,2,7,15,3,3,6,2,7,10,4,4,9,3,-1,6,3,3,3,1,-1,13,3,3,7,5,-1,9,10,6,2,0,-1,7,13,13,0,0,-1,6
20,4,4,5,2,7,11,0,0,2,0,7,18,1,1,3,2,7,16,3,3,6,2,7,11,4,4,9,3,-1,7,3,3,3,1,-1,14,4,4,7,5,-1,9,10,6,2,0,-1,8,13,13,0,0,-1,7
21,4,4,5,2,7,12,0,0,2,0,7,19,1,1,3,2,7,17,3,3,7,2,7,11,4,4,9,3,-1,8,3,3,3,1,-1,15,4,4,8,5,-1,9,11,7,2,0,-1,8,13,13,0,0,-1,8
22,4,4,6,2,7,12,0,0,2,0,7,20,1,1,3,2,7,18,3,3,7,2,7,12,4,4,9,3,-1,9,3,3,3,1,-1,16,4,4,8,5,-1,10,12,8,2,0,-1,8,13,13,0,0,-1,9
23,4,4,7,3,7,12,0,0,2,0,7,21,1,1,3,2,7,19,3,3,7,2,7,13,4,4,10,4,-1,9,3,3,3,1,-1,17,5,5,8,5,-1,10,13,9,2,0,-1,8,14,14,0,0,-1,9
24,4,4,7,3,7,13,0,0,3,0,7,21,1,1,4,3,7,19,3,3,7,2,7,14,4,4,10,4,-1,10,3,3,3,1,-1,18,6,6,8,5,-1,10,13,9,3,1,-1,8,15,15,0,0,-1,9
25,4,4,8,3,7,13,0,0,3,0,7,22,1,1,4,3,7,20,3,3,7,2,7,15,4,4,11,4,-1,10,3,3,3,1,-1,19,6,6,8,5,-1,11,13,9,4,1,-1,8,16,16,0,0,-1,9
26,4,4,8,3,7,14,0,0,3,0,7,23,1,1,4,3,7,21,3,3,7,2,7,16,4,4,11,4,-1,11,3,3,3,1,-1,20,7,7,8,5,-1,11,14,10,4,1,-1,8,16,16,1,1,-1,9
27,4,4,8,3,7,15,0,0,3,0,7,24,1,1,4,3,7,22,3,3,7,2,7,17,4,4,12,4,-1,11,3,3,3,1,-1,21,8,8,8,5,-1,11,15,11,4,1,-1,8,16,16,2,1,-1,9
28,4,4,8,3,7,16,0,0,3,0,7,25,1,1,4,3,7,23,3,3,7,2,7,18,5,4,12,4,-1,11,3,3,4,1,-1,21,8,8,8,5,-1,12,16,12,4,1,-1,8,16,16,2,1,4,10
29,4,4,8,3,7,17,0,0,3,0,7,26,1,1,4,3,7,24,3,3,8,3,7,18,6,5,12,4,-1,11,3,3,4,1,-1,22,9,8,8,5,-1,12,16,12,4,1,6,9,16,16,3,2,4,10
30,4,4,8,3,7,18,0,0,3,0,7,27,1,1,4,3,7,25,3,3,9,3,7,18,6,5,12,4,-1,12,4,4,4,1,-1,22,10,9,8,5,-1,12,16,12,4,1,6,10,16,16,3,2,4,11
31,4,4,9,3,7,18,0,0,4,1,7,27,1,1,4,3,7,26,3,3,9,3,7,19,6,5,13,5,-1,12,4,4,4,1,-1,23,11,10,8,5,-1,12,17,13,4,1,6,10,16,16,3,2,4,12
32,4,4,9,3,7,19,0,0,5,1,7,27,1,1,4,3,7,27,3,3,9,3,7,20,6,5,13,5,-1,13,5,5,4,1,-1,23,11,10,8,5,-1,13,17,13,5,1,6,10,16,16,4,3,4,12
33,4,4,9,3,7,20,0,0,5,1,7,28,1,1,4,3,7,28,3,3,10,3,7,20,6,5,13,5,-1,14,6,6,4,1,-1,23,12,11,8,5,-1,13,17,13,5,1,6,11,16,16,4,3,4,13
34,4,4,10,4,7,20,0,0,5,1,7,29,1,1,5,3,7,28,3,3,10,3,7,21,6,5,13,5,-1,15,7,7,4,1,-1,23,12,11,8,5,-1,14,17,13,5,1,6,12,16,16,4,3,4,14
35,4,4,11,4,7,20,0,0,5,1,7,30,1,1,5,3,7,29,3,3,10,3,7,22,6,5,14,5,-1,15,7,7,4,1,-1,24,13,12,8,5,-1,14,17,13,6,2,6,12,16,16,4,3,4,15
36,5,4,11,4,7,20,0,0,5,1,7,31,1,1,6,3,7,29,3,3,10,3,7,23,6,5,14,5,-1,16,7,7,4,1,-1,25,14,13,8,5,-1,14,17,13,6,2,6,13,16,16,4,3,4,16
37,5,4,11,4,7,21,0,0,5,1,7,32,1,1,7,3,7,29,3,3,11,3,7,23,7,5,14,5,-1,16,7,7,5,1,4,25,15,13,8,5,-1,14,17,13,6,2,6,14,16,16,4,3,4,17
38,5,4,12,4,7,21,0,0,5,1,7,33,1,1,7,3,7,30,3,3,11,3,7,24,8,6,14,5,-1,16,7,7,5,1,4,26,16,14,8,5,-1,14,17,13,6,2,6,15,16,16,4,3,4,18
