day,rob_count_0,rob_rebelled_0,trade_count_0,trade_accepted_0,0_obey_to,farm_count_0,rob_count_1,rob_rebelled_1,trade_count_1,trade_accepted_1,1_obey_to,farm_count_1,rob_count_2,rob_rebelled_2,trade_count_2,trade_accepted_2,2_obey_to,farm_count_2,rob_count_3,rob_rebelled_3,trade_count_3,trade_accepted_3,3_obey_to,farm_count_3,rob_count_4,rob_rebelled_4,trade_count_4,trade_accepted_4,4_obey_to,farm_count_4,rob_count_5,rob_rebelled_5,trade_count_5,trade_accepted_5,5_obey_to,farm_count_5,rob_count_6,rob_rebelled_6,trade_count_6,trade_accepted_6,6_obey_to,farm_count_6,rob_count_7,rob_rebelled_7,trade_count_7,trade_accepted_7,7_obey_to,farm_count_7,rob_count_8,rob_rebelled_8,trade_count_8,trade_accepted_8,8_obey_to,farm_count_8
2,1,1,0,0,-1,0,0,0,0,0,-1,1,1,1,0,0,3,0,1,0,0,0,-1,0,1,1,0,0,-1,0,1,1,0,0,-1,0,1,1,0,0,-1,0,0,0,0,0,-1,1,0,0,0,0,-1,1
3,2,2,0,0,-1,0,1,1,0,0,-1,1,1,1,0,0,3,1,2,0,0,0,-1,0,2,2,0,0,-1,0,2,2,0,0,-1,0,1,1,0,0,-1,1,0,0,0,0,-1,2,0,0,0,0,-1,2
4,3,3,0,0,-1,0,1,1,0,0,-1,2,1,1,0,0,3,2,2,0,0,0,-1,1,3,3,0,0,-1,0,2,2,0,0,-1,1,1,1,0,0,-1,2,1,1,0,0,-1,2,0,0,0,0,-1,3
5,4,4,0,0,-1,0,1,1,1,0,-1,2,1,1,0,0,3,3,3,0,0,0,-1,1,4,4,0,0,-1,0,2,2,0,0,-1,2,1,1,0,0,-1,3,1,1,0,0,-1,3,0,0,0,0,-1,4
6,4,4,1,1,-1,0,1,1,2,0,-1,2,1,1,0,0,3,4,4,1,0,0,4,1,5,4,0,0,-1,0,2,2,0,0,-1,3,1,1,0,0,-1,4,1,1,0,0,-1,4,1,1,0,0,-1,4
7,5,5,1,1,-1,0,2,2,2,0,-1,2,1,1,1,0,3,4,4,1,0,0,4,2,6,4,0,0,-1,0,2,2,0,0,-1,4,1,1,0,0,-1,5,2,2,0,0,-1,4,1,1,1,1,-1,4
8,6,6,1,1,-1,0,2,2,2,0,-1,3,1,1,1,0,3,5,4,1,0,0,4,3,6,4,0,0,-1,1,3,3,0,0,-1,4,1,1,0,0,-1,6,2,2,0,0,-1,5,1,1,2,2,-1,4
9,7,7,1,1,-1,0,3,3,2,0,-1,3,1,1,1,0,3,6,4,1,0,0,4,4,6,4,1,1,-1,1,4,4,0,0,-1,4,1,1,0,0,-1,7,3,3,0,0,-1,5,1,1,2,2,-1,5
10,7,7,1,1,-1,1,3,3,3,0,-1,3,1,1,1,0,3,7,4,1,0,0,4,5,7,5,1,1,-1,1,4,4,0,0,-1,5,2,2,0,0,-1,7,3,3,0,0,-1,6,1,1,2,2,-1,6
11,7,7,2,1,-1,1,3,3,4,1,-1,3,1,1,1,0,3,8,4,1,0,0,4,6,7,5,1,1,-1,2,5,5,0,0,-1,5,3,3,0,0,-1,7,3,3,1,1,-1,6,1,1,2,2,-1,7
12,7,7,2,1,-1,2,4,4,4,1,-1,3,1,1,1,0,3,9,4,1,0,0,4,7,8,6,1,1,-1,2,5,5,0,0,-1,6,3,3,0,0,-1,8,4,4,1,1,-1,6,1,1,2,2,-1,8
13,7,7,3,2,-1,2,4,4,5,2,-1,3,1,1,1,0,3,10,4,1,0,0,4,8,8,6,2,2,-1,2,6,6,0,0,-1,6,3,3,0,0,-1,9,4,4,2,2,-1,6,1,1,3,3,-1,8
14,7,7,4,2,-1,2,5,5,5,2,-1,3,1,1,1,0,3,11,4,1,0,0,4,9,8,6,2,2,-1,3,7,7,0,0,-1,6,4,4,0,0,-1,9,5,5,2,2,-1,6,1,1,4,4,-1,8
15,8,8,4,2,-1,2,6,6,5,2,-1,3,1,1,1,0,3,12,4,1,0,0,4,10,8,6,2,2,-1,4,7,7,0,0,-1,7,4,4,0,0,-1,10,5,5,2,2,-1,7,1,1,4,4,-1,9
16,8,8,4,2,-1,3,6,6,6,2,-1,3,2,2,1,0,3,12,4,1,0,0,4,11,8,6,2,2,-1,5,8,7,0,0,-1,7,4,4,0,0,-1,11,5,5,2,2,-1,8,1,1,4,4,5,10
17,9,9,4,2,-1,3,7,7,6,2,-1,3,2,2,1,0,3,13,4,1,0,0,4,12,9,7,2,2,-1,5,8,7,0,0,-1,8,5,4,0,0,-1,11,6,6,2,2,-1,8,1,1,4,4,5,11
18,10,10,4,2,-1,3,7,7,6,2,-1,4,2,2,2,1,3,13,4,1,0,0,4,13,9,7,3,2,-1,5,9,8,0,0,-1,8,6,5,0,0,-1,11,7,7,2,2,-1,8,1,1,5,5,5,11
19,11,11,4,2,-1,3,7,7,7,2,-1,4,2,2,2,1,3,14,4,1,1,1,4,13,9,7,4,2,5,5,10,8,0,0,-1,8,7,6,0,0,-1,11,7,7,2,2,-1,9,1,1,5,5,5,12
20,12,12,4,2,-1,3,7,7,7,2,-1,5,2,2,3,2,3,14,4,1,1,1,4,14,9,7,4,2,5,6,11,9,0,0,-1,8,7,6,0,0,-1,12,7,7,2,2,-1,10,1,1,5,5,5,13
21,13,13,4,2,-1,3,8,8,7,2,-1,5,3,3,3,2,3,14,4,1,1,1,4,15,9,7,4,2,5,7,12,10,0,0,-1,8,7,6,1,1,-1,12,7,7,2,2,-1,11,1,1,5,5,5,14
22,13,13,4,2,-1,4,8,8,8,3,-1,5,3,3,3,2,3,15,4,1,1,1,4,16,9,7,4,2,5,8,13,11,0,0,-1,8,7,6,1,1,-1,13,7,7,2,2,-1,12,2,2,5,5,5,14
23,14,14,4,2,-1,4,9,8,8,3,-1,5,3,3,3,2,3,16,4,1,2,2,4,16,9,7,5,2,5,8,13,11,0,0,1,9,7,6,1,1,-1,14,8,8,2,2,-1,12,3,3,5,5,5,14
24,15,15,4,2,-1,4,9,8,8,3,-1,6,3,3,3,2,3,17,4,1,2,2,4,17,10,8,5,2,5,8,13,11,0,0,1,10,8,7,1,1,-1,14,9,9,2,2,-1,12,3,3,6,5,5,14
25,16,16,4,2,-1,4,9,8,9,3,-1,6,3,3,3,2,3,18,4,1,2,2,4,18,10,8,5,2,5,9,14,12,0,0,1,10,8,7,1,1,-1,15,10,10,2,2,-1,12,3,3,6,5,5,15
26,17,17,4,2,-1,4,10,8,9,3,1,6,3,3,3,2,3,19,4,1,2,2,4,19,10,8,5,2,5,10,14,12,0,0,1,11,9,7,1,1,-1,16,10,10,2,2,-1,14,3,3,6,5,5,17
27,18,18,4,2,-1,4,10,8,9,3,1,7,3,3,4,2,3,20,4,1,2,2,4,20,10,8,5,2,5,11,14,12,1,1,1,11,10,8,1,1,-1,16,10,10,3,3,-1,14,3,3,6,5,5,18
28,18,18,4,2,-1,5,10,8,10,4,1,7,4,4,4,2,3,20,4,1,3,2,4,20,10,8,5,2,5,12,14,12,1,1,1,12,10,8,2,1,-1,16,10,10,3,3,-1,15,3,3,7,5,5,18
29,18,18,4,2,-1,6,10,8,10,4,1,8,4,4,4,2,3,21,4,1,3,2,4,21,10,8,6,3,5,12,14,12,1,1,1,13,10,8,2,1,-1,17,10,10,3,3,-1,16,3,3,7,5,5,19
30,19,19,4,2,-1,6,10,8,10,4,1,9,4,4,5,2,3,21,4,1,3,2,4,22,10,8,6,3,5,13,14,12,1,1,1,14,10,8,2,1,-1,18,10,10,3,3,-1,17,3,3,7,5,5,20
31,19,19,5,2,-1,6,10,8,10,4,1,10,4,4,5,2,3,22,4,1,3,2,4,23,10,8,6,3,5,14,14,12,2,1,1,14,10,8,2,1,-1,19,11,11,3,3,-1,17,3,3,7,5,5,21
32,20,20,5,2,-1,6,10,8,10,4,1,11,4,4,5,2,3,23,4,1,4,2,4,23,10,8,6,3,5,15,14,12,2,1,1,15,11,9,2,1,-1,19,11,11,4,3,-1,17,3,3,7,5,5,22
33,20,20,6,2,-1,6,10,8,10,4,1,12,4,4,5,2,3,24,4,1,4,2,4,24,10,8,6,3,5,16,14,12,2,1,1,16,12,10,2,1,-1,19,12,12,4,3,-1,17,3,3,7,5,5,23
34,20,20,6,2,-1,7,10,8,11,5,1,12,4,4,5,2,3,25,5,2,4,2,4,24,10,8,7,3,5,16,14,12,2,1,1,17,13,11,2,1,-1,19,13,13,4,3,-1,17,3,3,7,5,5,24
35,21,20,6,2,-1,7,10,8,11,5,0,13,4,4,5,2,3,26,5,2,4,2,4,25,10,8,8,3,5,16,14,12,2,1,1,18,13,11,3,1,-1,19,14,14,4,3,-1,17,3,3,7,5,5,25
36,21,20,7,2,-1,7,10,8,11,5,0,14,4,4,6,2,3,26,5,2,4,2,4,26,10,8,9,4,5,16,14,12,2,1,1,19,14,12,3,1,-1,19,15,15,4,3,-1,17,3,3,7,5,5,26
37,22,21,7,2,7,7,10,8,11,5,0,15,4,4,7,2,3,26,5,2,4,2,4,27,10,8,9,4,5,17,14,12,2,1,1,20,14,12,3,1,-1,20,16,15,4,3,-1,17,3,3,8,6,5,26
38,22,21,8,2,7,7,10,8,12,5,0,15,5,5,7,2,3,26,5,2,4,2,4,28,10,8,9,4,5,18,14,12,2,1,1,21,15,13,3,1,-1,20,16,15,4,3,-1,18,3,3,9,6,5,26
39,22,21,9,2,7,7,10,8,12,5,0,16,5,5,8,3,3,26,5,2,4,2,4,29,10,8,10,4,5,18,14,12,2,1,1,22,15,13,4,1,-1,20,17,16,4,3,-1,18,3,3,9,6,5,27
40,22,21,9,2,7,8,10,8,12,5,0,17,5,5,9,3,3,26,5,2,4,2,4,30,10,8,10,4,5,19,14,12,2,1,1,23,16,14,4,1,-1,20,17,16,4,3,-1,19,3,3,9,6,5,28
41,22,21,10,3,7,8,10,8,12,5,0,18,5,5,9,3,3,27,5,2,4,2,4,31,10,8,10,4,5,20,14,12,2,1,1,24,17,15,4,1,-1,20,17,16,4,3,-1,20,3,3,10,7,5,28
42,22,21,11,3,7,8,10,8,12,5,0,19,5,5,10,3,3,27,5,2,4,2,4,32,10,8,10,4,5,21,14,12,2,1,1,25,17,15,4,1,-1,21,17,16,4,3,-1,21,3,3,10,7,5,29
43,22,21,11,3,7,9,10,8,13,5,0,19,5,5,10,3,3,28,5,2,4,2,4,33,10,8,10,4,5,22,14,12,2,1,1,26,17,15,4,1,-1,22,17,16,4,3,-1,22,3,3,10,7,5,30
44,22,21,12,3,7,9,10,8,13,5,0,20,5,5,11,3,3,28,5,2,4,2,4,34,10,8,10,4,5,23,14,12,2,1,1,27,18,16,4,1,-1,22,17,16,4,3,-1,23,3,3,10,7,5,31
45,22,21,12,3,7,10,10,8,13,5,0,21,5,5,11,3,3,29,5,2,5,2,4,34,10,8,11,4,5,23,14,12,2,1,1,28,19,17,4,1,-1,22,17,16,4,3,-1,24,3,3,10,7,5,32
46,22,21,13,3,7,10,10,8,13,5,0,22,5,5,12,3,3,29,5,2,5,2,4,35,10,8,12,4,5,23,14,12,2,1,1,29,20,18,4,1,-1,22,17,16,4,3,-1,25,3,3,11,7,5,32
